epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.314,1.01236,1.5092,1.1817,0.96794,0.4,0.46527,0.32396,1.20712,1.4561,1.09089,0.00054889,0.00054889,0.00054889
2,436.744,0.99132,1.16384,1.14859,0.16415,0.225,0.15627,0.06557,1.43589,2.73636,1.23629,0.00106811,0.00106811,0.00106811
3,652.953,1.0518,1.14899,1.17894,0.97003,0.39239,0.41276,0.23775,1.42713,1.67204,1.36434,0.00155065,0.00155065,0.00155065
4,875.345,1.03359,1.02827,1.17251,0.82826,0.325,0.29801,0.17668,1.67559,4.35803,1.3673,0.00150197,0.00150197,0.00150197
5,1089.8,1.04975,0.99538,1.17585,0.43423,0.375,0.40992,0.26696,1.1989,1.29957,1.13638,0.00144696,0.00144696,0.00144696
6,1299.83,1.02471,0.97742,1.16592,0.44651,0.41763,0.49524,0.31797,1.23147,1.10709,1.08387,0.00139195,0.00139195,0.00139195
7,1514.07,0.986,0.93007,1.1546,0.43028,0.975,0.51523,0.27783,1.62599,1.12866,1.29717,0.00133693,0.00133693,0.00133693
8,1696.18,0.92376,0.84763,1.11821,0.91222,0.375,0.50964,0.36262,1.02259,1.02386,1.01315,0.00128192,0.00128192,0.00128192
9,1881.34,0.90786,0.80035,1.10973,0.84284,0.5,0.47148,0.29974,1.10959,0.97131,1.13124,0.00122691,0.00122691,0.00122691
10,2061.54,0.89868,0.7705,1.1007,0.42725,0.925,0.52896,0.34719,1.16553,1.06172,1.05953,0.0011719,0.0011719,0.0011719
11,2249.07,0.89712,0.77729,1.09348,0.67108,1,0.99143,0.5254,1.16627,0.7561,1.08612,0.00111689,0.00111689,0.00111689
12,2437.89,0.86154,0.75871,1.08207,0.40891,0.925,0.61684,0.36084,1.16689,1.0052,1.13399,0.00106188,0.00106188,0.00106188
13,2631.96,0.85237,0.72295,1.07371,0.94985,0.475,0.57387,0.37616,1.17224,0.763,1.02997,0.00100687,0.00100687,0.00100687
14,2819.24,0.83223,0.69234,1.07482,0.39195,1,0.50114,0.29292,1.29741,0.91958,1.17552,0.000951857,0.000951857,0.000951857
15,3007.83,0.80712,0.67659,1.05559,0.49586,0.95,0.69638,0.39767,1.08238,0.76048,1.05103,0.000896846,0.000896846,0.000896846
16,3196.36,0.7762,0.65642,1.05276,0.99551,0.4,0.55718,0.34644,1.14672,0.90105,1.04719,0.000841835,0.000841835,0.000841835
17,3384.99,0.77026,0.62985,1.05335,0.45379,0.975,0.60209,0.36559,1.11125,0.71344,1.02437,0.000786824,0.000786824,0.000786824
18,3573.86,0.76574,0.61541,1.04345,0.54714,1,0.66333,0.41863,1.16941,0.57756,1.077,0.000731813,0.000731813,0.000731813
19,3762.38,0.74106,0.60461,1.03927,0.57994,0.97296,0.74125,0.39692,1.30909,0.67906,1.14447,0.000676802,0.000676802,0.000676802
20,3951.28,0.69981,0.57607,0.99907,0.67722,1,0.74506,0.44763,1.15979,0.60059,1.06971,0.000621791,0.000621791,0.000621791
21,4137.74,0.64964,0.56436,0.97101,0.59893,0.975,0.73163,0.42533,1.16348,0.66029,1.04427,0.00056678,0.00056678,0.00056678
