epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.882,0.89546,2.93535,1.14107,0.0029,0.96875,0.57433,0.39811,0.81958,3.5007,0.97058,0.000540231,0.000540231,0.000540231
2,191.953,1.15344,2.48035,1.24753,0.56488,0.40952,0.48506,0.30572,1.0992,3.29687,1.19071,0.00105973,0.00105973,0.00105973
3,288.441,1.29569,2.3709,1.38488,0.13515,0.13165,0.07653,0.02086,2.19898,4.48496,3.08392,0.00154256,0.00154256,0.00154256
4,385.661,1.28741,2.24006,1.34672,0.2598,0.22641,0.13624,0.07327,1.74321,4.52161,2.15977,0.00150197,0.00150197,0.00150197
5,480.93,1.28646,2.0855,1.37108,0.58604,0.61573,0.58691,0.35076,1.28669,2.82597,1.38031,0.00144696,0.00144696,0.00144696
6,576.487,1.324,2.08513,1.40166,0.42945,0.48688,0.4618,0.24923,1.22372,2.36569,1.30305,0.00139195,0.00139195,0.00139195
7,670.98,1.16007,1.73534,1.27733,0.36097,0.59214,0.51305,0.29778,1.21452,2.41766,1.28933,0.00133693,0.00133693,0.00133693
8,764.956,1.2314,1.66729,1.35654,0.53813,0.64269,0.58849,0.35484,1.20198,1.90325,1.28382,0.00128192,0.00128192,0.00128192
9,858.704,1.20674,1.63806,1.33827,0.69004,0.64854,0.7173,0.48869,1.00211,1.51128,1.15,0.00122691,0.00122691,0.00122691
10,952.567,1.14455,1.51858,1.28408,0.57424,0.70282,0.63624,0.4049,1.07449,1.62611,1.20251,0.0011719,0.0011719,0.0011719
11,1045.96,1.10256,1.42914,1.24164,0.68342,0.64536,0.72871,0.48903,1.06856,1.62045,1.1423,0.00111689,0.00111689,0.00111689
12,1139.65,1.08464,1.28957,1.23259,0.67759,0.66193,0.73512,0.46465,1.13194,1.62598,1.14184,0.00106188,0.00106188,0.00106188
13,1232.63,1.05877,1.27363,1.21013,0.64533,0.73407,0.66225,0.433,1.00157,1.44746,1.08494,0.00100687,0.00100687,0.00100687
14,1326.42,1.01027,1.16093,1.23728,0.72446,0.59153,0.66102,0.45942,0.90372,1.70757,1.07048,0.000951857,0.000951857,0.000951857
15,1420.07,1.01903,1.1688,1.17613,0.74176,0.67902,0.77559,0.53485,0.96093,1.29444,1.09911,0.000896846,0.000896846,0.000896846
16,1513.5,0.99527,1.21189,1.18572,0.67512,0.73853,0.74587,0.53901,0.87443,1.27456,1.0788,0.000841835,0.000841835,0.000841835
17,1606.82,0.96383,1.06729,1.15408,0.71927,0.69173,0.75027,0.55475,0.87428,1.28122,1.04763,0.000786824,0.000786824,0.000786824
18,1699.32,0.90005,1.04635,1.13187,0.74023,0.70935,0.73155,0.50872,0.89051,1.38513,1.08242,0.000731813,0.000731813,0.000731813
19,1782.56,0.89512,1.00332,1.13172,0.59302,0.80121,0.79249,0.60175,0.81143,1.09778,1.02403,0.000676802,0.000676802,0.000676802
20,1865.02,0.86797,0.97722,1.12434,0.59276,0.75259,0.71804,0.5478,0.87002,1.28061,1.03394,0.000621791,0.000621791,0.000621791
21,1946.7,0.81241,0.98363,1.06983,0.65665,0.70202,0.72897,0.53769,0.83749,1.22971,1.00135,0.00056678,0.00056678,0.00056678
22,2028.26,0.77873,0.86678,1.04345,0.85562,0.68528,0.75356,0.54959,0.82185,1.23315,0.9781,0.000511769,0.000511769,0.000511769
23,2109.84,0.7801,0.84565,1.04394,0.77382,0.69714,0.75336,0.53653,0.94853,1.25628,1.07342,0.000456758,0.000456758,0.000456758
24,2191.17,0.75729,0.80396,1.03638,0.80272,0.72709,0.76774,0.56481,0.84152,1.23214,1.0383,0.000401747,0.000401747,0.000401747
25,2272.54,0.74137,0.78774,1.01922,0.81527,0.71314,0.7906,0.59808,0.77354,1.15815,1.00307,0.000346736,0.000346736,0.000346736
26,2353.8,0.68333,0.75072,0.99988,0.79157,0.71711,0.79605,0.61312,0.77935,1.09369,1.00445,0.000291725,0.000291725,0.000291725
27,2435.04,0.65981,0.75352,0.99319,0.82451,0.75354,0.811,0.61154,0.79939,1.09327,1.00734,0.000236714,0.000236714,0.000236714
28,2516.36,0.60638,0.67273,0.95278,0.85491,0.73589,0.81953,0.62427,0.78652,1.0752,0.99537,0.000181703,0.000181703,0.000181703
29,2597.89,0.63964,0.672,0.97357,0.81316,0.7627,0.80449,0.62075,0.74508,1.07449,0.99624,0.000126692,0.000126692,0.000126692
30,2679.27,0.6002,0.60782,0.95535,0.83913,0.75437,0.80776,0.62051,0.75058,1.08698,0.99612,7.1681e-05,7.1681e-05,7.1681e-05
